URL,443
https://edge-fblite-tcp-mini-shv-01-sjc3.secure.facebook.com,X,
https://vaultwebdisk.beta.facebook.com,X,
https://nn.prod.facebook.com,X,
https://webdisk.admin.beta.facebook.com,X,
https://confidentialwww.beta.facebook.com,X,
https://loco.prod.facebook.com,X,
https://store.secure.facebook.com,X,
https://sensitive.autodiscover.secure.facebook.com,X,
https://zoom.prod.facebook.com,X,
https://internal.autoconfig.secure.facebook.com,X,
https://webdisk-admin.secure.facebook.com,X,
https://qa-webdisk.new.facebook.com,X,
https://confidentialwww.secure.facebook.com,X,
https://work.secure.facebook.com,X,
https://stagingwebdisk.secure.facebook.com,X,
https://design.prod.facebook.com,X,
https://internal.intern.facebook.com,X,
https://jazz-test.facebook.com,X,
https://confidential.www.new.facebook.com,X,
https://secret.extern.facebook.com,X,
https://restricted-www.beta.facebook.com,X,
https://privileged-www.secure.facebook.com,X,
https://portal.prod.facebook.com,X,
https://webdisk.confidential.secure.facebook.com,X,
https://privatewww.beta.facebook.com,X,
https://www.restricted.beta.facebook.com,X,
https://secret-webdisk.secure.facebook.com,X,
https://vaultwww.secure.facebook.com,X,
https://ig.secure.facebook.com,X,
https://autodiscoveradmin.beta.facebook.com,X,
https://restricted.autodiscover.beta.facebook.com,X,
https://secret-www.secure.facebook.com,X,
https://management.autoconfig.new.facebook.com,X,
https://code.secure.facebook.com,X,
https://www.qa.secure.facebook.com,X,
https://hr.secure.facebook.com,X,
https://autodiscover-gateway.new.facebook.com,X,
https://dev.webdisk.new.facebook.com,X,
https://webdisk.test.beta.facebook.com,X,
https://agora.secure.facebook.com,X,
https://internal-autodiscover.new.facebook.com,X,
https://testautoconfig.new.facebook.com,X,
https://autoconfigprivate.secure.facebook.com,X,
https://privilegedautoconfig.new.facebook.com,X,
https://wwwtest.new.facebook.com,X,
https://autodiscoverconfidential.new.facebook.com,X,
https://restricted-autoconfig.new.facebook.com,X,
https://prod.webdisk.beta.facebook.com,X,
https://webdisksecret.beta.facebook.com,X,
https://beta.prod.facebook.com,X,
https://autoconfigstaging.new.facebook.com,X,
https://restrictedautodiscover.new.facebook.com,X,
https://autoconfig-staging.secure.facebook.com,X,
https://confidentialautodiscover.beta.facebook.com,X,
https://wwwinternal.new.facebook.com,X,
https://edge-services-fbonly-shv-02-hbe1.prod.facebook.com,X,
https://dev-autoconfig.beta.facebook.com,X,
https://autodiscoversensitive.beta.facebook.com,X,
https://lite.prod.facebook.com,X,
https://backup.autodiscover.secure.facebook.com,X,
https://autoconfig-management.new.facebook.com,X,
https://mt.secure.facebook.com,X,
https://vault-webdisk.new.facebook.com,X,
https://management.prod.facebook.com,X,
https://qa.prod.facebook.com,X,
https://solutions.secure.facebook.com,X,
https://internal.beta.facebook.com,X,
https://test-autodiscover.beta.facebook.com,X,
https://gateway-autoconfig.new.facebook.com,X,
https://secure-autodiscover.new.facebook.com,X,
https://autodiscoversecure.beta.facebook.com,X,
https://autodiscoverinternal.new.facebook.com,X,
